station_number,display_station_name,state,latitude,longitude,elevation_m,year_opened,year_closed
014004,BERRIMAH RADAR,NT,-12.46,130.93,50,1998,"Latitude (decimal degrees, south negative): -12.46"
014009,CHANNEL ISLAND,NT,-12.55,130.87,10,1932,"Latitude (decimal degrees, south negative): -12.55"
014015,DARWIN AIRPORT,NT,-12.42,130.89,30,1941,"Latitude (decimal degrees, south negative): -12.42"
014021,BULEY ROCKHOLE,NT,-13.11,130.80,82,1999,"Latitude (decimal degrees, south negative): -13.11"
014022,DARWIN RIVER RIDGE,NT,-12.81,130.99,100,2002,"Latitude (decimal degrees, south negative): -12.81"
014031,CHARLES POINT,NT,-12.39,130.63,14,1996,"Latitude (decimal degrees, south negative): -12.39"
014041,MIDDLE POINT,NT,-12.61,131.30,14,2001,"Latitude (decimal degrees, south negative): -12.61"
014042,OENPELLI,NT,-12.32,133.06,7,1910,"Latitude (decimal degrees, south negative): -12.32"
014049,DARWIN BOWLS CLUB,NT,-12.44,130.84,12,2002,"Latitude (decimal degrees, south negative): -12.44"
014050,FORT HILL WHARF,NT,-12.47,130.85,5,2002,"Latitude (decimal degrees, south negative): -12.47"
014090,MIDDLE POINT RANGERS,NT,-12.58,131.31,10,1957,"Latitude (decimal degrees, south negative): -12.58"
014112,NIGHTCLIFF POOL,NT,-12.38,130.85,7,1962,"Latitude (decimal degrees, south negative): -12.38"
014116,BERRIMAH RESEARCH FARM,NT,-12.44,130.93,35,1963,"Latitude (decimal degrees, south negative): -12.44"
014142,PIRLANGIMPI AIRPORT,NT,-11.40,130.42,18,1963,"Latitude (decimal degrees, south negative): -11.40"
014143,AWILLAWAY FLY CREEK,NT,-12.80,131.05,51,2004,"Latitude (decimal degrees, south negative): -12.80"
014144,MARRARA,NT,-12.40,130.88,16,2005,"Latitude (decimal degrees, south negative): -12.40"
014147,PIONEER CREEK,NT,-12.72,130.89,30,2005,"Latitude (decimal degrees, south negative): -12.72"
014148,CAMP CREEK,NT,-13.14,130.93,78,2005,"Latitude (decimal degrees, south negative): -13.14"
014153,BLACK POINT,NT,-11.15,132.14,5,1965,"Latitude (decimal degrees, south negative): -11.15"
014163,DARWIN BOTANIC GARDENS,NT,-12.44,130.84,15,1967,"Latitude (decimal degrees, south negative): -12.44"
014183,DARWIN RIVER DAM,NT,-12.83,130.97,100,1968,"Latitude (decimal degrees, south negative): -12.83"
014192,GIRRAWEEN,NT,-12.53,131.09,35,1995,"Latitude (decimal degrees, south negative): -12.53"
014198,JABIRU AIRPORT,NT,-12.66,132.89,27,1984,"Latitude (decimal degrees, south negative): -12.66"
014206,SOUTHPORT,NT,-12.73,130.95,16,2006,"Latitude (decimal degrees, south negative): -12.73"
014215,BERRY SPRINGS RANGERS,NT,-12.70,131.00,10,1985,"Latitude (decimal degrees, south negative): -12.70"
014219,MCMINNS LAGOON,NT,-12.55,131.08,35,1976,"Latitude (decimal degrees, south negative): -12.55"
014222,ELIZABETH VALLEY,NT,-12.64,131.08,36,1986,"Latitude (decimal degrees, south negative): -12.64"
014226,HUMPTY DOO COLLARD ROAD,NT,-12.58,131.08,30,1987,"Latitude (decimal degrees, south negative): -12.58"
014227,KARAMA,NT,-12.39,130.92,16,1987,"Latitude (decimal degrees, south negative): -12.39"
014235,NORTHLAKES,NT,-12.40,130.90,30,1987,"Latitude (decimal degrees, south negative): -12.40"
014238,WAGAIT BEACH,NT,-12.43,130.75,30,1988,"Latitude (decimal degrees, south negative): -12.43"
014244,ACACIA HILLS,NT,-12.76,131.16,20,1989,"Latitude (decimal degrees, south negative): -12.76"
014246,LEANYER,NT,-12.38,130.91,10,1989,"Latitude (decimal degrees, south negative): -12.38"
014253,CHANNEL POINT,NT,-13.17,130.12,3,1990,"Latitude (decimal degrees, south negative): -13.17"
014254,POINT STUART,NT,-12.24,131.88,1,1992,"Latitude (decimal degrees, south negative): -12.24"
014260,EAST ARM,NT,-12.48,130.90,10,1991,"Latitude (decimal degrees, south negative): -12.48"
014264,TERRITORY WILDLIFE PARK,NT,-12.71,130.99,10,1991,"Latitude (decimal degrees, south negative): -12.71"
014265,CSIRO BERRIMAH,NT,-12.41,130.92,40,1992,"Latitude (decimal degrees, south negative): -12.41"
014266,THORAK CEMETERY,NT,-12.41,130.97,25,1992,"Latitude (decimal degrees, south negative): -12.41"
