Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,014116,1965,01,01,,,
IDCJAC0010,014116,1965,01,02,,,
IDCJAC0010,014116,1965,01,03,,,
IDCJAC0010,014116,1965,01,04,32.8,1,Y
IDCJAC0010,014116,1965,01,05,32.5,1,Y
IDCJAC0010,014116,1965,01,06,33.1,1,Y
IDCJAC0010,014116,1965,01,07,34.2,1,Y
IDCJAC0010,014116,1965,01,08,,,
IDCJAC0010,014116,1965,01,09,,,
IDCJAC0010,014116,1965,01,10,34.1,1,Y
IDCJAC0010,014116,1965,01,11,33.9,1,Y
IDCJAC0010,014116,1965,01,12,31.7,1,Y
IDCJAC0010,014116,1965,01,13,33.1,1,Y
IDCJAC0010,014116,1965,01,14,33.9,1,Y
IDCJAC0010,014116,1965,01,15,,,
IDCJAC0010,014116,1965,01,16,33.1,1,Y
IDCJAC0010,014116,1965,01,17,34.4,1,Y
IDCJAC0010,014116,1965,01,18,35.0,1,Y
IDCJAC0010,014116,1965,01,19,35.6,1,Y
IDCJAC0010,014116,1965,01,20,34.4,1,Y
IDCJAC0010,014116,1965,01,21,34.4,1,Y
IDCJAC0010,014116,1965,01,22,33.3,1,Y
IDCJAC0010,014116,1965,01,23,,,
IDCJAC0010,014116,1965,01,24,33.8,1,Y
IDCJAC0010,014116,1965,01,25,34.7,1,Y
IDCJAC0010,014116,1965,01,26,31.7,1,Y
IDCJAC0010,014116,1965,01,27,,,
IDCJAC0010,014116,1965,01,28,32.7,1,Y
IDCJAC0010,014116,1965,01,29,,,
IDCJAC0010,014116,1965,01,30,,,
IDCJAC0010,014116,1965,01,31,33.3,1,Y
IDCJAC0010,014116,1965,02,01,,,
IDCJAC0010,014116,1965,02,02,34.4,1,Y
IDCJAC0010,014116,1965,02,03,33.3,1,Y
IDCJAC0010,014116,1965,02,04,33.9,1,Y
IDCJAC0010,014116,1965,02,05,,,
IDCJAC0010,014116,1965,02,06,,,
IDCJAC0010,014116,1965,02,07,36.4,1,Y
IDCJAC0010,014116,1965,02,08,33.7,1,Y
IDCJAC0010,014116,1965,02,09,34.3,1,Y
IDCJAC0010,014116,1965,02,10,33.3,1,Y
IDCJAC0010,014116,1965,02,11,33.4,1,Y
IDCJAC0010,014116,1965,02,12,,,
IDCJAC0010,014116,1965,02,13,,,
IDCJAC0010,014116,1965,02,14,,,
IDCJAC0010,014116,1965,02,15,34.9,1,Y
IDCJAC0010,014116,1965,02,16,34.2,1,Y
IDCJAC0010,014116,1965,02,17,34.3,1,Y
IDCJAC0010,014116,1965,02,18,32.4,1,Y
IDCJAC0010,014116,1965,02,19,,,
IDCJAC0010,014116,1965,02,20,,,
IDCJAC0010,014116,1965,02,21,32.5,1,Y
IDCJAC0010,014116,1965,02,22,33.3,1,Y
IDCJAC0010,014116,1965,02,23,33.0,1,Y
IDCJAC0010,014116,1965,02,24,34.3,1,Y
IDCJAC0010,014116,1965,02,25,32.4,1,Y
IDCJAC0010,014116,1965,02,26,,,
IDCJAC0010,014116,1965,02,27,,,
IDCJAC0010,014116,1965,02,28,31.5,1,Y
IDCJAC0010,014116,1965,03,01,32.9,1,Y
IDCJAC0010,014116,1965,03,02,,,
IDCJAC0010,014116,1965,03,03,30.6,,Y
IDCJAC0010,014116,1965,03,04,30.0,1,Y
IDCJAC0010,014116,1965,03,05,,,
IDCJAC0010,014116,1965,03,06,,,
IDCJAC0010,014116,1965,03,07,30.6,1,Y
IDCJAC0010,014116,1965,03,08,31.9,1,Y
IDCJAC0010,014116,1965,03,09,32.2,1,Y
IDCJAC0010,014116,1965,03,10,32.5,1,Y
IDCJAC0010,014116,1965,03,11,29.7,1,Y
IDCJAC0010,014116,1965,03,12,,,
IDCJAC0010,014116,1965,03,13,,,
IDCJAC0010,014116,1965,03,14,30.8,1,Y
IDCJAC0010,014116,1965,03,15,33.1,1,Y
IDCJAC0010,014116,1965,03,16,32.2,1,Y
IDCJAC0010,014116,1965,03,17,33.6,1,Y
IDCJAC0010,014116,1965,03,18,32.5,1,Y
IDCJAC0010,014116,1965,03,19,,,
IDCJAC0010,014116,1965,03,20,,,
IDCJAC0010,014116,1965,03,21,32.8,1,Y
IDCJAC0010,014116,1965,03,22,31.9,1,Y
IDCJAC0010,014116,1965,03,23,31.4,1,Y
IDCJAC0010,014116,1965,03,24,30.8,1,Y
IDCJAC0010,014116,1965,03,25,28.6,1,Y
IDCJAC0010,014116,1965,03,26,,,
IDCJAC0010,014116,1965,03,27,,,
IDCJAC0010,014116,1965,03,28,28.9,1,Y
IDCJAC0010,014116,1965,03,29,31.7,1,Y
IDCJAC0010,014116,1965,03,30,32.3,1,Y
IDCJAC0010,014116,1965,03,31,29.7,1,Y
IDCJAC0010,014116,1965,04,01,32.5,1,Y
IDCJAC0010,014116,1965,04,02,,,
IDCJAC0010,014116,1965,04,03,,,
IDCJAC0010,014116,1965,04,04,32.2,1,Y
IDCJAC0010,014116,1965,04,05,32.9,1,Y
IDCJAC0010,014116,1965,04,06,32.3,1,Y
IDCJAC0010,014116,1965,04,07,33.6,1,Y
IDCJAC0010,014116,1965,04,08,34.0,1,Y
IDCJAC0010,014116,1965,04,09,,,
IDCJAC0010,014116,1965,04,10,,,
IDCJAC0010,014116,1965,04,11,34.0,1,Y
IDCJAC0010,014116,1965,04,12,32.8,1,Y
IDCJAC0010,014116,1965,04,13,32.5,1,Y
IDCJAC0010,014116,1965,04,14,33.4,1,Y
IDCJAC0010,014116,1965,04,15,,,
IDCJAC0010,014116,1965,04,16,,,
IDCJAC0010,014116,1965,04,17,,,
IDCJAC0010,014116,1965,04,18,,,
IDCJAC0010,014116,1965,04,19,33.9,1,Y
IDCJAC0010,014116,1965,04,20,,,
IDCJAC0010,014116,1965,04,21,33.3,,Y
IDCJAC0010,014116,1965,04,22,33.4,1,Y
IDCJAC0010,014116,1965,04,23,,,
IDCJAC0010,014116,1965,04,24,,,
IDCJAC0010,014116,1965,04,25,,,
IDCJAC0010,014116,1965,04,26,33.9,1,Y
IDCJAC0010,014116,1965,04,27,,,
IDCJAC0010,014116,1965,04,28,34.4,1,Y
IDCJAC0010,014116,1965,04,29,34.5,1,Y
IDCJAC0010,014116,1965,04,30,,,
IDCJAC0010,014116,1965,05,01,,,
IDCJAC0010,014116,1965,05,02,,,
IDCJAC0010,014116,1965,05,03,35.0,1,Y
IDCJAC0010,014116,1965,05,04,34.3,1,Y
IDCJAC0010,014116,1965,05,05,34.2,1,Y
