Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,014960,2000,01,01,,,
IDCJAC0010,014960,2000,01,02,,,
IDCJAC0010,014960,2000,01,03,,,
IDCJAC0010,014960,2000,01,04,,,
IDCJAC0010,014960,2000,01,05,,,
IDCJAC0010,014960,2000,01,06,,,
IDCJAC0010,014960,2000,01,07,,,
IDCJAC0010,014960,2000,01,08,,,
IDCJAC0010,014960,2000,01,09,,,
IDCJAC0010,014960,2000,01,10,,,
IDCJAC0010,014960,2000,01,11,,,
IDCJAC0010,014960,2000,01,12,,,
IDCJAC0010,014960,2000,01,13,,,
IDCJAC0010,014960,2000,01,14,,,
IDCJAC0010,014960,2000,01,15,,,
IDCJAC0010,014960,2000,01,16,,,
IDCJAC0010,014960,2000,01,17,,,
IDCJAC0010,014960,2000,01,18,,,
IDCJAC0010,014960,2000,01,19,,,
IDCJAC0010,014960,2000,01,20,,,
IDCJAC0010,014960,2000,01,21,,,
IDCJAC0010,014960,2000,01,22,,,
IDCJAC0010,014960,2000,01,23,,,
IDCJAC0010,014960,2000,01,24,,,
IDCJAC0010,014960,2000,01,25,,,
IDCJAC0010,014960,2000,01,26,,,
IDCJAC0010,014960,2000,01,27,,,
IDCJAC0010,014960,2000,01,28,,,
IDCJAC0010,014960,2000,01,29,,,
IDCJAC0010,014960,2000,01,30,,,
IDCJAC0010,014960,2000,01,31,,,
IDCJAC0010,014960,2000,02,01,,,
IDCJAC0010,014960,2000,02,02,,,
IDCJAC0010,014960,2000,02,03,,,
IDCJAC0010,014960,2000,02,04,,,
IDCJAC0010,014960,2000,02,05,,,
IDCJAC0010,014960,2000,02,06,,,
IDCJAC0010,014960,2000,02,07,,,
IDCJAC0010,014960,2000,02,08,,,
IDCJAC0010,014960,2000,02,09,,,
IDCJAC0010,014960,2000,02,10,,,
IDCJAC0010,014960,2000,02,11,,,
IDCJAC0010,014960,2000,02,12,,,
IDCJAC0010,014960,2000,02,13,,,
IDCJAC0010,014960,2000,02,14,31.6,1,Y
IDCJAC0010,014960,2000,02,15,29.2,1,Y
IDCJAC0010,014960,2000,02,16,30.0,1,Y
IDCJAC0010,014960,2000,02,17,29.0,1,Y
IDCJAC0010,014960,2000,02,18,32.0,1,Y
IDCJAC0010,014960,2000,02,19,33.5,1,Y
IDCJAC0010,014960,2000,02,20,33.7,1,Y
IDCJAC0010,014960,2000,02,21,34.0,1,Y
IDCJAC0010,014960,2000,02,22,33.6,1,Y
IDCJAC0010,014960,2000,02,23,34.0,1,Y
IDCJAC0010,014960,2000,02,24,31.0,1,Y
IDCJAC0010,014960,2000,02,25,31.0,1,Y
IDCJAC0010,014960,2000,02,26,31.0,1,Y
IDCJAC0010,014960,2000,02,27,30.5,1,Y
IDCJAC0010,014960,2000,02,28,32.0,1,Y
IDCJAC0010,014960,2000,02,29,30.5,1,Y
IDCJAC0010,014960,2000,03,01,29.5,1,Y
IDCJAC0010,014960,2000,03,02,25.5,1,Y
IDCJAC0010,014960,2000,03,03,28.5,1,Y
IDCJAC0010,014960,2000,03,04,29.0,1,Y
IDCJAC0010,014960,2000,03,05,31.5,1,Y
IDCJAC0010,014960,2000,03,06,31.5,1,Y
IDCJAC0010,014960,2000,03,07,31.2,1,Y
IDCJAC0010,014960,2000,03,08,31.2,1,Y
IDCJAC0010,014960,2000,03,09,32.5,1,Y
IDCJAC0010,014960,2000,03,10,32.5,1,Y
