Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094140,1992,01,01,17.1,,Y
IDCJAC0010,094140,1992,01,02,,,
IDCJAC0010,094140,1992,01,03,20.9,1,Y
IDCJAC0010,094140,1992,01,04,17.2,1,Y
IDCJAC0010,094140,1992,01,05,15.9,1,Y
IDCJAC0010,094140,1992,01,06,15.7,1,Y
IDCJAC0010,094140,1992,01,07,16.9,1,Y
IDCJAC0010,094140,1992,01,08,12.8,1,Y
IDCJAC0010,094140,1992,01,09,,,
IDCJAC0010,094140,1992,01,10,,,
IDCJAC0010,094140,1992,01,11,,,
IDCJAC0010,094140,1992,01,12,,,
IDCJAC0010,094140,1992,01,13,,,
IDCJAC0010,094140,1992,01,14,,,
IDCJAC0010,094140,1992,01,15,,,
IDCJAC0010,094140,1992,01,16,,,
IDCJAC0010,094140,1992,01,17,,,
IDCJAC0010,094140,1992,01,18,,,
IDCJAC0010,094140,1992,01,19,23.6,,Y
IDCJAC0010,094140,1992,01,20,29.8,1,Y
IDCJAC0010,094140,1992,01,21,27.1,1,Y
IDCJAC0010,094140,1992,01,22,26.7,1,Y
IDCJAC0010,094140,1992,01,23,18.2,1,Y
IDCJAC0010,094140,1992,01,24,19.7,1,Y
IDCJAC0010,094140,1992,01,25,17.9,1,Y
IDCJAC0010,094140,1992,01,26,,,
IDCJAC0010,094140,1992,01,27,20.8,1,Y
IDCJAC0010,094140,1992,01,28,14.8,1,Y
IDCJAC0010,094140,1992,01,29,18.9,1,Y
IDCJAC0010,094140,1992,01,30,21.6,1,Y
IDCJAC0010,094140,1992,01,31,21.4,1,Y
IDCJAC0010,094140,1992,02,01,21.2,1,Y
IDCJAC0010,094140,1992,02,02,26.1,1,Y
IDCJAC0010,094140,1992,02,03,24.2,1,Y
IDCJAC0010,094140,1992,02,04,17.2,1,Y
IDCJAC0010,094140,1992,02,05,23.0,1,Y
IDCJAC0010,094140,1992,02,06,20.9,1,Y
IDCJAC0010,094140,1992,02,07,,,
IDCJAC0010,094140,1992,02,08,23.1,1,Y
IDCJAC0010,094140,1992,02,09,22.2,1,Y
IDCJAC0010,094140,1992,02,10,18.4,1,Y
IDCJAC0010,094140,1992,02,11,17.5,1,Y
IDCJAC0010,094140,1992,02,12,21.3,1,Y
IDCJAC0010,094140,1992,02,13,15.9,1,Y
IDCJAC0010,094140,1992,02,14,12.9,1,Y
IDCJAC0010,094140,1992,02,15,17.7,1,Y
IDCJAC0010,094140,1992,02,16,22.2,1,Y
IDCJAC0010,094140,1992,02,17,31.3,1,Y
IDCJAC0010,094140,1992,02,18,21.9,1,Y
IDCJAC0010,094140,1992,02,19,23.7,1,Y
IDCJAC0010,094140,1992,02,20,19.6,1,Y
IDCJAC0010,094140,1992,02,21,21.4,1,Y
IDCJAC0010,094140,1992,02,22,22.9,1,Y
IDCJAC0010,094140,1992,02,23,16.5,1,Y
IDCJAC0010,094140,1992,02,24,16.3,1,Y
IDCJAC0010,094140,1992,02,25,17.2,1,Y
IDCJAC0010,094140,1992,02,26,17.6,1,Y
IDCJAC0010,094140,1992,02,27,25.5,1,Y
IDCJAC0010,094140,1992,02,28,28.2,1,Y
IDCJAC0010,094140,1992,02,29,28.8,1,Y
IDCJAC0010,094140,1992,03,01,26.2,1,Y
IDCJAC0010,094140,1992,03,02,17.3,1,Y
IDCJAC0010,094140,1992,03,03,25.9,1,Y
IDCJAC0010,094140,1992,03,04,27.2,1,Y
IDCJAC0010,094140,1992,03,05,25.8,1,Y
IDCJAC0010,094140,1992,03,06,22.3,1,Y
IDCJAC0010,094140,1992,03,07,24.2,1,Y
IDCJAC0010,094140,1992,03,08,24.1,1,Y
IDCJAC0010,094140,1992,03,09,27.7,1,Y
IDCJAC0010,094140,1992,03,10,32.2,1,Y
IDCJAC0010,094140,1992,03,11,21.4,1,Y
IDCJAC0010,094140,1992,03,12,19.7,1,Y
IDCJAC0010,094140,1992,03,13,20.7,1,Y
IDCJAC0010,094140,1992,03,14,19.7,1,Y
IDCJAC0010,094140,1992,03,15,16.2,1,Y
IDCJAC0010,094140,1992,03,16,16.2,1,Y
IDCJAC0010,094140,1992,03,17,19.9,1,Y
IDCJAC0010,094140,1992,03,18,,,
IDCJAC0010,094140,1992,03,19,21.5,1,Y
IDCJAC0010,094140,1992,03,20,14.9,1,Y
IDCJAC0010,094140,1992,03,21,12.2,1,Y
IDCJAC0010,094140,1992,03,22,18.3,1,Y
IDCJAC0010,094140,1992,03,23,21.2,1,Y
IDCJAC0010,094140,1992,03,24,,,
IDCJAC0010,094140,1992,03,25,22.6,1,Y
IDCJAC0010,094140,1992,03,26,27.2,1,Y
IDCJAC0010,094140,1992,03,27,15.7,1,Y
IDCJAC0010,094140,1992,03,28,19.4,1,Y
IDCJAC0010,094140,1992,03,29,19.4,1,Y
IDCJAC0010,094140,1992,03,30,24.2,1,Y
IDCJAC0010,094140,1992,03,31,,,
IDCJAC0010,094140,1992,04,01,26.2,1,Y
IDCJAC0010,094140,1992,04,02,18.2,1,Y
IDCJAC0010,094140,1992,04,03,21.2,1,Y
IDCJAC0010,094140,1992,04,04,27.8,1,Y
IDCJAC0010,094140,1992,04,05,21.2,1,Y
IDCJAC0010,094140,1992,04,06,12.0,1,Y
IDCJAC0010,094140,1992,04,07,9.8,1,Y
