Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094066,1965,01,01,13.3,,Y
IDCJAC0010,094066,1965,01,02,13.9,1,Y
IDCJAC0010,094066,1965,01,03,15.8,1,Y
IDCJAC0010,094066,1965,01,04,14.4,1,Y
IDCJAC0010,094066,1965,01,05,15.3,1,Y
IDCJAC0010,094066,1965,01,06,9.2,1,Y
IDCJAC0010,094066,1965,01,07,13.9,1,Y
IDCJAC0010,094066,1965,01,08,17.2,1,Y
IDCJAC0010,094066,1965,01,09,19.6,1,Y
IDCJAC0010,094066,1965,01,10,18.2,1,Y
IDCJAC0010,094066,1965,01,11,11.1,1,Y
IDCJAC0010,094066,1965,01,12,15.0,1,Y
IDCJAC0010,094066,1965,01,13,9.4,1,Y
IDCJAC0010,094066,1965,01,14,17.2,1,Y
IDCJAC0010,094066,1965,01,15,20.8,1,Y
IDCJAC0010,094066,1965,01,16,27.3,1,Y
IDCJAC0010,094066,1965,01,17,30.6,1,Y
IDCJAC0010,094066,1965,01,18,11.7,1,Y
IDCJAC0010,094066,1965,01,19,8.8,1,Y
IDCJAC0010,094066,1965,01,20,10.6,1,Y
IDCJAC0010,094066,1965,01,21,16.2,1,Y
IDCJAC0010,094066,1965,01,22,13.1,1,Y
IDCJAC0010,094066,1965,01,23,13.8,1,Y
IDCJAC0010,094066,1965,01,24,11.6,1,Y
IDCJAC0010,094066,1965,01,25,9.1,1,Y
IDCJAC0010,094066,1965,01,26,10.3,1,Y
IDCJAC0010,094066,1965,01,27,8.1,1,Y
IDCJAC0010,094066,1965,01,28,12.5,1,Y
IDCJAC0010,094066,1965,01,29,16.4,1,Y
IDCJAC0010,094066,1965,01,30,12.2,1,Y
IDCJAC0010,094066,1965,01,31,14.7,1,Y
IDCJAC0010,094066,1965,02,01,19.2,1,Y
IDCJAC0010,094066,1965,02,02,25.3,1,Y
IDCJAC0010,094066,1965,02,03,16.2,1,Y
IDCJAC0010,094066,1965,02,04,15.0,1,Y
IDCJAC0010,094066,1965,02,05,21.7,1,Y
