Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014116,1965,01,01,,,
IDCJAC0011,014116,1965,01,02,,,
IDCJAC0011,014116,1965,01,03,,,
IDCJAC0011,014116,1965,01,04,,,
IDCJAC0011,014116,1965,01,05,22.2,1,Y
IDCJAC0011,014116,1965,01,06,22.5,1,Y
IDCJAC0011,014116,1965,01,07,21.4,1,Y
IDCJAC0011,014116,1965,01,08,22.2,1,Y
IDCJAC0011,014116,1965,01,09,,,
IDCJAC0011,014116,1965,01,10,,,
IDCJAC0011,014116,1965,01,11,21.1,1,Y
IDCJAC0011,014116,1965,01,12,25.8,1,Y
IDCJAC0011,014116,1965,01,13,24.4,1,Y
IDCJAC0011,014116,1965,01,14,26.1,1,Y
IDCJAC0011,014116,1965,01,15,22.8,1,Y
IDCJAC0011,014116,1965,01,16,,,
IDCJAC0011,014116,1965,01,17,24.7,1,Y
IDCJAC0011,014116,1965,01,18,22.2,1,Y
IDCJAC0011,014116,1965,01,19,26.1,1,Y
IDCJAC0011,014116,1965,01,20,24.4,1,Y
IDCJAC0011,014116,1965,01,21,24.7,1,Y
IDCJAC0011,014116,1965,01,22,22.8,1,Y
IDCJAC0011,014116,1965,01,23,20.6,1,Y
IDCJAC0011,014116,1965,01,24,,,
IDCJAC0011,014116,1965,01,25,21.1,1,Y
IDCJAC0011,014116,1965,01,26,20.6,1,Y
IDCJAC0011,014116,1965,01,27,22.2,1,Y
IDCJAC0011,014116,1965,01,28,,,
IDCJAC0011,014116,1965,01,29,26.4,,Y
IDCJAC0011,014116,1965,01,30,,,
IDCJAC0011,014116,1965,01,31,,,
IDCJAC0011,014116,1965,02,01,,,
IDCJAC0011,014116,1965,02,02,,,
IDCJAC0011,014116,1965,02,03,23.3,1,Y
IDCJAC0011,014116,1965,02,04,23.3,1,Y
IDCJAC0011,014116,1965,02,05,23.3,1,Y
IDCJAC0011,014116,1965,02,06,,,
IDCJAC0011,014116,1965,02,07,,,
IDCJAC0011,014116,1965,02,08,22.8,1,Y
IDCJAC0011,014116,1965,02,09,22.2,1,Y
IDCJAC0011,014116,1965,02,10,24.4,1,Y
IDCJAC0011,014116,1965,02,11,24.4,1,Y
IDCJAC0011,014116,1965,02,12,22.1,1,Y
IDCJAC0011,014116,1965,02,13,,,
IDCJAC0011,014116,1965,02,14,,,
IDCJAC0011,014116,1965,02,15,,,
IDCJAC0011,014116,1965,02,16,20.0,1,Y
IDCJAC0011,014116,1965,02,17,20.0,1,Y
IDCJAC0011,014116,1965,02,18,20.2,1,Y
IDCJAC0011,014116,1965,02,19,20.9,1,Y
IDCJAC0011,014116,1965,02,20,,,
IDCJAC0011,014116,1965,02,21,,,
IDCJAC0011,014116,1965,02,22,22.0,1,Y
IDCJAC0011,014116,1965,02,23,23.6,1,Y
IDCJAC0011,014116,1965,02,24,23.7,1,Y
IDCJAC0011,014116,1965,02,25,19.8,1,Y
IDCJAC0011,014116,1965,02,26,25.3,1,Y
IDCJAC0011,014116,1965,02,27,,,
IDCJAC0011,014116,1965,02,28,,,
IDCJAC0011,014116,1965,03,01,21.2,1,Y
IDCJAC0011,014116,1965,03,02,23.3,1,Y
IDCJAC0011,014116,1965,03,03,22.2,1,Y
IDCJAC0011,014116,1965,03,04,22.2,1,Y
IDCJAC0011,014116,1965,03,05,23.3,1,Y
IDCJAC0011,014116,1965,03,06,,,
IDCJAC0011,014116,1965,03,07,,,
IDCJAC0011,014116,1965,03,08,22.5,1,Y
IDCJAC0011,014116,1965,03,09,23.3,1,Y
IDCJAC0011,014116,1965,03,10,23.6,1,Y
IDCJAC0011,014116,1965,03,11,24.7,1,Y
IDCJAC0011,014116,1965,03,12,24.4,1,Y
IDCJAC0011,014116,1965,03,13,,,
IDCJAC0011,014116,1965,03,14,,,
IDCJAC0011,014116,1965,03,15,22.2,1,Y
IDCJAC0011,014116,1965,03,16,23.3,1,Y
IDCJAC0011,014116,1965,03,17,22.2,1,Y
IDCJAC0011,014116,1965,03,18,22.5,1,Y
IDCJAC0011,014116,1965,03,19,22.5,1,Y
IDCJAC0011,014116,1965,03,20,,,
IDCJAC0011,014116,1965,03,21,,,
IDCJAC0011,014116,1965,03,22,21.4,1,Y
IDCJAC0011,014116,1965,03,23,22.5,1,Y
IDCJAC0011,014116,1965,03,24,22.5,1,Y
IDCJAC0011,014116,1965,03,25,21.4,1,Y
IDCJAC0011,014116,1965,03,26,22.2,1,Y
IDCJAC0011,014116,1965,03,27,,,
IDCJAC0011,014116,1965,03,28,,,
IDCJAC0011,014116,1965,03,29,21.4,1,Y
IDCJAC0011,014116,1965,03,30,22.0,1,Y
IDCJAC0011,014116,1965,03,31,21.1,1,Y
IDCJAC0011,014116,1965,04,01,21.4,1,Y
IDCJAC0011,014116,1965,04,02,22.6,1,Y
IDCJAC0011,014116,1965,04,03,,,
IDCJAC0011,014116,1965,04,04,,,
IDCJAC0011,014116,1965,04,05,22.2,1,Y
IDCJAC0011,014116,1965,04,06,19.2,1,Y
IDCJAC0011,014116,1965,04,07,21.1,1,Y
IDCJAC0011,014116,1965,04,08,20.0,1,Y
IDCJAC0011,014116,1965,04,09,21.1,1,Y
IDCJAC0011,014116,1965,04,10,,,
IDCJAC0011,014116,1965,04,11,,,
IDCJAC0011,014116,1965,04,12,21.1,1,Y
IDCJAC0011,014116,1965,04,13,22.5,1,Y
IDCJAC0011,014116,1965,04,14,22.2,1,Y
IDCJAC0011,014116,1965,04,15,21.1,1,Y
IDCJAC0011,014116,1965,04,16,,,
IDCJAC0011,014116,1965,04,17,,,
IDCJAC0011,014116,1965,04,18,,,
IDCJAC0011,014116,1965,04,19,,,
IDCJAC0011,014116,1965,04,20,19.2,1,Y
IDCJAC0011,014116,1965,04,21,16.7,1,Y
IDCJAC0011,014116,1965,04,22,16.8,1,Y
IDCJAC0011,014116,1965,04,23,17.8,1,Y
IDCJAC0011,014116,1965,04,24,,,
IDCJAC0011,014116,1965,04,25,,,
IDCJAC0011,014116,1965,04,26,,,
IDCJAC0011,014116,1965,04,27,16.7,1,Y
IDCJAC0011,014116,1965,04,28,,,
IDCJAC0011,014116,1965,04,29,20.0,1,Y
IDCJAC0011,014116,1965,04,30,22.3,1,Y
IDCJAC0011,014116,1965,05,01,,,
IDCJAC0011,014116,1965,05,02,,,
IDCJAC0011,014116,1965,05,03,,,
IDCJAC0011,014116,1965,05,04,20.3,1,Y
IDCJAC0011,014116,1965,05,05,20.6,1,Y
IDCJAC0011,014116,1965,05,06,21.4,1,Y
IDCJAC0011,014116,1965,05,07,21.1,1,Y
IDCJAC0011,014116,1965,05,08,,,
IDCJAC0011,014116,1965,05,09,,,
IDCJAC0011,014116,1965,05,10,20.0,1,Y
IDCJAC0011,014116,1965,05,11,21.1,1,Y
IDCJAC0011,014116,1965,05,12,20.0,1,Y
IDCJAC0011,014116,1965,05,13,19.0,1,Y
IDCJAC0011,014116,1965,05,14,19.2,1,Y
IDCJAC0011,014116,1965,05,15,,,
IDCJAC0011,014116,1965,05,16,,,
IDCJAC0011,014116,1965,05,17,17.3,1,Y
IDCJAC0011,014116,1965,05,18,16.1,1,Y
IDCJAC0011,014116,1965,05,19,14.7,1,Y
IDCJAC0011,014116,1965,05,20,17.7,1,Y
IDCJAC0011,014116,1965,05,21,,,
IDCJAC0011,014116,1965,05,22,,,
IDCJAC0011,014116,1965,05,23,,,
IDCJAC0011,014116,1965,05,24,21.1,1,Y
IDCJAC0011,014116,1965,05,25,21.4,1,Y
IDCJAC0011,014116,1965,05,26,20.9,1,Y
IDCJAC0011,014116,1965,05,27,16.7,1,Y
IDCJAC0011,014116,1965,05,28,,,
IDCJAC0011,014116,1965,05,29,,,
IDCJAC0011,014116,1965,05,30,,,
IDCJAC0011,014116,1965,05,31,14.1,1,Y
IDCJAC0011,014116,1965,06,01,,,
IDCJAC0011,014116,1965,06,02,17.1,1,Y
IDCJAC0011,014116,1965,06,03,18.0,1,Y
IDCJAC0011,014116,1965,06,04,19.2,1,Y
IDCJAC0011,014116,1965,06,05,,,
IDCJAC0011,014116,1965,06,06,,,
IDCJAC0011,014116,1965,06,07,19.0,1,Y
IDCJAC0011,014116,1965,06,08,20.0,1,Y
IDCJAC0011,014116,1965,06,09,18.9,1,Y
IDCJAC0011,014116,1965,06,10,19.2,1,Y
IDCJAC0011,014116,1965,06,11,19.0,1,Y
IDCJAC0011,014116,1965,06,12,,,
IDCJAC0011,014116,1965,06,13,,,
IDCJAC0011,014116,1965,06,14,,,
IDCJAC0011,014116,1965,06,15,17.1,1,Y
IDCJAC0011,014116,1965,06,16,19.0,1,Y
IDCJAC0011,014116,1965,06,17,20.4,1,Y
IDCJAC0011,014116,1965,06,18,21.1,1,Y
IDCJAC0011,014116,1965,06,19,,,
IDCJAC0011,014116,1965,06,20,,,
IDCJAC0011,014116,1965,06,21,19.2,1,Y
IDCJAC0011,014116,1965,06,22,19.0,1,Y
IDCJAC0011,014116,1965,06,23,19.2,1,Y
IDCJAC0011,014116,1965,06,24,17.2,1,Y
IDCJAC0011,014116,1965,06,25,12.2,1,Y
IDCJAC0011,014116,1965,06,26,,,
IDCJAC0011,014116,1965,06,27,,,
IDCJAC0011,014116,1965,06,28,11.4,1,Y
IDCJAC0011,014116,1965,06,29,14.4,1,Y
IDCJAC0011,014116,1965,06,30,15.6,1,Y
IDCJAC0011,014116,1965,07,01,15.7,1,Y
IDCJAC0011,014116,1965,07,02,17.8,1,Y
IDCJAC0011,014116,1965,07,03,,,
IDCJAC0011,014116,1965,07,04,,,
IDCJAC0011,014116,1965,07,05,16.9,1,Y
IDCJAC0011,014116,1965,07,06,15.6,1,Y
IDCJAC0011,014116,1965,07,07,15.6,1,Y
IDCJAC0011,014116,1965,07,08,15.6,1,Y
IDCJAC0011,014116,1965,07,09,15.6,1,Y
IDCJAC0011,014116,1965,07,10,,,
IDCJAC0011,014116,1965,07,11,,,
IDCJAC0011,014116,1965,07,12,13.3,1,Y
IDCJAC0011,014116,1965,07,13,13.6,1,Y
IDCJAC0011,014116,1965,07,14,14.4,1,Y
IDCJAC0011,014116,1965,07,15,12.2,1,Y
IDCJAC0011,014116,1965,07,16,,,
IDCJAC0011,014116,1965,07,17,,,
IDCJAC0011,014116,1965,07,18,,,
IDCJAC0011,014116,1965,07,19,10.0,1,Y
IDCJAC0011,014116,1965,07,20,6.9,1,Y
IDCJAC0011,014116,1965,07,21,7.8,1,Y
IDCJAC0011,014116,1965,07,22,8.9,1,Y
IDCJAC0011,014116,1965,07,23,11.9,1,Y
IDCJAC0011,014116,1965,07,24,,,
IDCJAC0011,014116,1965,07,25,,,
IDCJAC0011,014116,1965,07,26,11.1,1,Y
IDCJAC0011,014116,1965,07,27,12.2,1,Y
IDCJAC0011,014116,1965,07,28,12.2,1,Y
IDCJAC0011,014116,1965,07,29,14.4,1,Y
IDCJAC0011,014116,1965,07,30,,,
IDCJAC0011,014116,1965,07,31,,,
IDCJAC0011,014116,1965,08,01,,,
IDCJAC0011,014116,1965,08,02,,,
IDCJAC0011,014116,1965,08,03,14.4,1,Y
IDCJAC0011,014116,1965,08,04,15.8,1,Y
IDCJAC0011,014116,1965,08,05,17.8,1,Y
IDCJAC0011,014116,1965,08,06,15.6,1,Y
IDCJAC0011,014116,1965,08,07,,,
IDCJAC0011,014116,1965,08,08,,,
IDCJAC0011,014116,1965,08,09,12.5,1,Y
IDCJAC0011,014116,1965,08,10,15.6,1,Y
IDCJAC0011,014116,1965,08,11,14.7,1,Y
IDCJAC0011,014116,1965,08,12,16.7,1,Y
IDCJAC0011,014116,1965,08,13,16.7,1,Y
IDCJAC0011,014116,1965,08,14,,,
IDCJAC0011,014116,1965,08,15,,,
IDCJAC0011,014116,1965,08,16,17.8,1,Y
IDCJAC0011,014116,1965,08,17,20.1,1,Y
IDCJAC0011,014116,1965,08,18,17.9,1,Y
IDCJAC0011,014116,1965,08,19,18.9,1,Y
IDCJAC0011,014116,1965,08,20,18.9,1,Y
IDCJAC0011,014116,1965,08,21,,,
IDCJAC0011,014116,1965,08,22,,,
IDCJAC0011,014116,1965,08,23,16.9,1,Y
IDCJAC0011,014116,1965,08,24,18.1,1,Y
IDCJAC0011,014116,1965,08,25,17.9,1,Y
IDCJAC0011,014116,1965,08,26,17.8,1,Y
IDCJAC0011,014116,1965,08,27,20.0,1,Y
IDCJAC0011,014116,1965,08,28,,,
IDCJAC0011,014116,1965,08,29,,,
