Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014031,2014,01,01,,,
IDCJAC0011,014031,2014,01,02,,,
IDCJAC0011,014031,2014,01,03,,,
IDCJAC0011,014031,2014,01,04,,,
IDCJAC0011,014031,2014,01,05,,,
IDCJAC0011,014031,2014,01,06,,,
IDCJAC0011,014031,2014,01,07,,,
IDCJAC0011,014031,2014,01,08,,,
IDCJAC0011,014031,2014,01,09,,,
IDCJAC0011,014031,2014,01,10,,,
IDCJAC0011,014031,2014,01,11,,,
IDCJAC0011,014031,2014,01,12,,,
IDCJAC0011,014031,2014,01,13,,,
IDCJAC0011,014031,2014,01,14,,,
IDCJAC0011,014031,2014,01,15,,,
IDCJAC0011,014031,2014,01,16,,,
IDCJAC0011,014031,2014,01,17,,,
IDCJAC0011,014031,2014,01,18,,,
IDCJAC0011,014031,2014,01,19,,,
IDCJAC0011,014031,2014,01,20,,,
IDCJAC0011,014031,2014,01,21,,,
IDCJAC0011,014031,2014,01,22,,,
IDCJAC0011,014031,2014,01,23,,,
IDCJAC0011,014031,2014,01,24,,,
IDCJAC0011,014031,2014,01,25,,,
IDCJAC0011,014031,2014,01,26,,,
IDCJAC0011,014031,2014,01,27,,,
IDCJAC0011,014031,2014,01,28,,,
IDCJAC0011,014031,2014,01,29,,,
IDCJAC0011,014031,2014,01,30,,,
IDCJAC0011,014031,2014,01,31,,,
IDCJAC0011,014031,2014,02,01,,,
IDCJAC0011,014031,2014,02,02,,,
IDCJAC0011,014031,2014,02,03,,,
IDCJAC0011,014031,2014,02,04,,,
IDCJAC0011,014031,2014,02,05,,,
IDCJAC0011,014031,2014,02,06,,,
IDCJAC0011,014031,2014,02,07,,,
IDCJAC0011,014031,2014,02,08,,,
IDCJAC0011,014031,2014,02,09,,,
IDCJAC0011,014031,2014,02,10,,,
IDCJAC0011,014031,2014,02,11,,,
IDCJAC0011,014031,2014,02,12,,,
IDCJAC0011,014031,2014,02,13,,,
IDCJAC0011,014031,2014,02,14,,,
IDCJAC0011,014031,2014,02,15,,,
IDCJAC0011,014031,2014,02,16,,,
IDCJAC0011,014031,2014,02,17,,,
IDCJAC0011,014031,2014,02,18,,,
IDCJAC0011,014031,2014,02,19,,,
IDCJAC0011,014031,2014,02,20,,,
IDCJAC0011,014031,2014,02,21,,,
IDCJAC0011,014031,2014,02,22,,,
IDCJAC0011,014031,2014,02,23,,,
IDCJAC0011,014031,2014,02,24,,,
IDCJAC0011,014031,2014,02,25,,,
IDCJAC0011,014031,2014,02,26,,,
IDCJAC0011,014031,2014,02,27,,,
IDCJAC0011,014031,2014,02,28,,,
IDCJAC0011,014031,2014,03,01,,,
IDCJAC0011,014031,2014,03,02,,,
IDCJAC0011,014031,2014,03,03,,,
IDCJAC0011,014031,2014,03,04,,,
IDCJAC0011,014031,2014,03,05,,,
IDCJAC0011,014031,2014,03,06,,,
IDCJAC0011,014031,2014,03,07,,,
IDCJAC0011,014031,2014,03,08,,,
IDCJAC0011,014031,2014,03,09,,,
IDCJAC0011,014031,2014,03,10,,,
IDCJAC0011,014031,2014,03,11,,,
IDCJAC0011,014031,2014,03,12,,,
IDCJAC0011,014031,2014,03,13,,,
IDCJAC0011,014031,2014,03,14,,,
IDCJAC0011,014031,2014,03,15,,,
IDCJAC0011,014031,2014,03,16,,,
IDCJAC0011,014031,2014,03,17,,,
IDCJAC0011,014031,2014,03,18,,,
IDCJAC0011,014031,2014,03,19,,,
IDCJAC0011,014031,2014,03,20,,,
IDCJAC0011,014031,2014,03,21,,,
IDCJAC0011,014031,2014,03,22,,,
IDCJAC0011,014031,2014,03,23,,,
IDCJAC0011,014031,2014,03,24,,,
IDCJAC0011,014031,2014,03,25,,,
IDCJAC0011,014031,2014,03,26,,,
IDCJAC0011,014031,2014,03,27,,,
IDCJAC0011,014031,2014,03,28,,,
IDCJAC0011,014031,2014,03,29,,,
IDCJAC0011,014031,2014,03,30,,,
IDCJAC0011,014031,2014,03,31,,,
IDCJAC0011,014031,2014,04,01,,,
IDCJAC0011,014031,2014,04,02,,,
IDCJAC0011,014031,2014,04,03,,,
IDCJAC0011,014031,2014,04,04,,,
IDCJAC0011,014031,2014,04,05,,,
IDCJAC0011,014031,2014,04,06,,,
