Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014960,2000,01,01,,,
IDCJAC0011,014960,2000,01,02,,,
IDCJAC0011,014960,2000,01,03,,,
IDCJAC0011,014960,2000,01,04,,,
IDCJAC0011,014960,2000,01,05,,,
IDCJAC0011,014960,2000,01,06,,,
IDCJAC0011,014960,2000,01,07,,,
IDCJAC0011,014960,2000,01,08,,,
IDCJAC0011,014960,2000,01,09,,,
IDCJAC0011,014960,2000,01,10,,,
IDCJAC0011,014960,2000,01,11,,,
IDCJAC0011,014960,2000,01,12,,,
IDCJAC0011,014960,2000,01,13,,,
IDCJAC0011,014960,2000,01,14,,,
IDCJAC0011,014960,2000,01,15,,,
IDCJAC0011,014960,2000,01,16,,,
IDCJAC0011,014960,2000,01,17,,,
IDCJAC0011,014960,2000,01,18,,,
IDCJAC0011,014960,2000,01,19,,,
IDCJAC0011,014960,2000,01,20,,,
IDCJAC0011,014960,2000,01,21,,,
IDCJAC0011,014960,2000,01,22,,,
IDCJAC0011,014960,2000,01,23,,,
IDCJAC0011,014960,2000,01,24,,,
IDCJAC0011,014960,2000,01,25,,,
IDCJAC0011,014960,2000,01,26,,,
IDCJAC0011,014960,2000,01,27,,,
IDCJAC0011,014960,2000,01,28,,,
IDCJAC0011,014960,2000,01,29,,,
IDCJAC0011,014960,2000,01,30,,,
IDCJAC0011,014960,2000,01,31,,,
IDCJAC0011,014960,2000,02,01,,,
IDCJAC0011,014960,2000,02,02,,,
IDCJAC0011,014960,2000,02,03,,,
IDCJAC0011,014960,2000,02,04,,,
IDCJAC0011,014960,2000,02,05,,,
IDCJAC0011,014960,2000,02,06,,,
IDCJAC0011,014960,2000,02,07,,,
IDCJAC0011,014960,2000,02,08,,,
IDCJAC0011,014960,2000,02,09,,,
IDCJAC0011,014960,2000,02,10,,,
IDCJAC0011,014960,2000,02,11,,,
IDCJAC0011,014960,2000,02,12,,,
IDCJAC0011,014960,2000,02,13,,,
IDCJAC0011,014960,2000,02,14,,,
IDCJAC0011,014960,2000,02,15,22.9,1,Y
IDCJAC0011,014960,2000,02,16,24.0,1,Y
IDCJAC0011,014960,2000,02,17,26.0,1,Y
IDCJAC0011,014960,2000,02,18,23.6,1,Y
IDCJAC0011,014960,2000,02,19,23.5,1,Y
IDCJAC0011,014960,2000,02,20,23.5,1,Y
IDCJAC0011,014960,2000,02,21,23.5,1,Y
IDCJAC0011,014960,2000,02,22,25.2,1,Y
IDCJAC0011,014960,2000,02,23,25.0,1,Y
IDCJAC0011,014960,2000,02,24,24.8,1,Y
IDCJAC0011,014960,2000,02,25,24.0,1,Y
IDCJAC0011,014960,2000,02,26,24.2,1,Y
IDCJAC0011,014960,2000,02,27,24.2,1,Y
IDCJAC0011,014960,2000,02,28,23.5,1,Y
IDCJAC0011,014960,2000,02,29,23.6,1,Y
IDCJAC0011,014960,2000,03,01,24.6,1,Y
IDCJAC0011,014960,2000,03,02,23.4,1,Y
IDCJAC0011,014960,2000,03,03,23.0,1,Y
IDCJAC0011,014960,2000,03,04,23.0,1,Y
IDCJAC0011,014960,2000,03,05,23.5,1,Y
IDCJAC0011,014960,2000,03,06,23.3,1,Y
IDCJAC0011,014960,2000,03,07,23.0,1,Y
IDCJAC0011,014960,2000,03,08,23.1,1,Y
IDCJAC0011,014960,2000,03,09,23.2,1,Y
IDCJAC0011,014960,2000,03,10,24.0,1,Y
IDCJAC0011,014960,2000,03,11,23.5,1,Y
IDCJAC0011,014960,2000,03,12,22.7,1,Y
IDCJAC0011,014960,2000,03,13,23.2,1,Y
IDCJAC0011,014960,2000,03,14,23.5,1,Y
IDCJAC0011,014960,2000,03,15,23.0,1,Y
IDCJAC0011,014960,2000,03,16,21.5,1,Y
IDCJAC0011,014960,2000,03,17,24.8,1,Y
IDCJAC0011,014960,2000,03,18,24.8,1,Y
IDCJAC0011,014960,2000,03,19,24.1,1,Y
IDCJAC0011,014960,2000,03,20,21.5,1,Y
IDCJAC0011,014960,2000,03,21,21.7,1,Y
IDCJAC0011,014960,2000,03,22,24.0,1,Y
IDCJAC0011,014960,2000,03,23,23.5,1,Y
IDCJAC0011,014960,2000,03,24,22.2,1,Y
IDCJAC0011,014960,2000,03,25,23.2,1,Y
IDCJAC0011,014960,2000,03,26,23.5,1,Y
IDCJAC0011,014960,2000,03,27,22.5,1,Y
IDCJAC0011,014960,2000,03,28,22.5,1,Y
IDCJAC0011,014960,2000,03,29,23.5,1,Y
IDCJAC0011,014960,2000,03,30,23.2,1,Y
IDCJAC0011,014960,2000,03,31,23.8,1,Y
IDCJAC0011,014960,2000,04,01,23.2,1,Y
IDCJAC0011,014960,2000,04,02,24.5,1,Y
IDCJAC0011,014960,2000,04,03,23.7,1,Y
IDCJAC0011,014960,2000,04,04,23.2,1,Y
IDCJAC0011,014960,2000,04,05,24.0,1,Y
IDCJAC0011,014960,2000,04,06,23.5,1,Y
IDCJAC0011,014960,2000,04,07,22.1,1,Y
IDCJAC0011,014960,2000,04,08,23.2,1,Y
IDCJAC0011,014960,2000,04,09,22.5,1,Y
IDCJAC0011,014960,2000,04,10,24.2,1,Y
IDCJAC0011,014960,2000,04,11,23.2,1,Y
IDCJAC0011,014960,2000,04,12,23.5,1,Y
IDCJAC0011,014960,2000,04,13,23.0,1,Y
IDCJAC0011,014960,2000,04,14,23.0,1,Y
IDCJAC0011,014960,2000,04,15,23.5,1,Y
IDCJAC0011,014960,2000,04,16,23.7,1,Y
IDCJAC0011,014960,2000,04,17,23.7,1,Y
IDCJAC0011,014960,2000,04,18,22.5,1,Y
IDCJAC0011,014960,2000,04,19,23.0,1,Y
IDCJAC0011,014960,2000,04,20,24.0,1,Y
IDCJAC0011,014960,2000,04,21,23.4,1,Y
IDCJAC0011,014960,2000,04,22,23.7,1,Y
IDCJAC0011,014960,2000,04,23,23.4,1,Y
IDCJAC0011,014960,2000,04,24,21.5,1,Y
IDCJAC0011,014960,2000,04,25,21.7,1,Y
IDCJAC0011,014960,2000,04,26,20.7,1,Y
IDCJAC0011,014960,2000,04,27,20.7,1,Y
IDCJAC0011,014960,2000,04,28,21.0,1,Y
IDCJAC0011,014960,2000,04,29,21.7,1,Y
IDCJAC0011,014960,2000,04,30,20.8,1,Y
IDCJAC0011,014960,2000,05,01,21.2,1,Y
