Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,094066,1965,01,01,4.7,,Y
IDCJAC0011,094066,1965,01,02,5.8,1,Y
IDCJAC0011,094066,1965,01,03,4.3,1,Y
IDCJAC0011,094066,1965,01,04,5.3,1,Y
IDCJAC0011,094066,1965,01,05,3.6,1,Y
IDCJAC0011,094066,1965,01,06,0.8,1,Y
IDCJAC0011,094066,1965,01,07,1.8,1,Y
IDCJAC0011,094066,1965,01,08,3.4,1,Y
IDCJAC0011,094066,1965,01,09,7.1,1,Y
IDCJAC0011,094066,1965,01,10,7.8,1,Y
IDCJAC0011,094066,1965,01,11,7.7,1,Y
IDCJAC0011,094066,1965,01,12,6.1,1,Y
IDCJAC0011,094066,1965,01,13,3.2,1,Y
IDCJAC0011,094066,1965,01,14,4.4,1,Y
IDCJAC0011,094066,1965,01,15,6.1,1,Y
IDCJAC0011,094066,1965,01,16,12.3,1,Y
IDCJAC0011,094066,1965,01,17,16.9,1,Y
IDCJAC0011,094066,1965,01,18,10.3,1,Y
IDCJAC0011,094066,1965,01,19,4.7,1,Y
IDCJAC0011,094066,1965,01,20,2.7,1,Y
IDCJAC0011,094066,1965,01,21,3.0,1,Y
IDCJAC0011,094066,1965,01,22,2.8,1,Y
IDCJAC0011,094066,1965,01,23,3.5,1,Y
IDCJAC0011,094066,1965,01,24,6.6,1,Y
IDCJAC0011,094066,1965,01,25,2.2,1,Y
IDCJAC0011,094066,1965,01,26,3.9,1,Y
IDCJAC0011,094066,1965,01,27,3.6,1,Y
IDCJAC0011,094066,1965,01,28,4.3,1,Y
IDCJAC0011,094066,1965,01,29,6.2,1,Y
IDCJAC0011,094066,1965,01,30,8.9,1,Y
IDCJAC0011,094066,1965,01,31,5.0,1,Y
IDCJAC0011,094066,1965,02,01,6.7,1,Y
IDCJAC0011,094066,1965,02,02,10.0,1,Y
IDCJAC0011,094066,1965,02,03,16.1,1,Y
IDCJAC0011,094066,1965,02,04,4.4,1,Y
IDCJAC0011,094066,1965,02,05,6.7,1,Y
IDCJAC0011,094066,1965,02,06,7.8,1,Y
IDCJAC0011,094066,1965,02,07,12.9,1,Y
IDCJAC0011,094066,1965,02,08,7.2,1,Y
IDCJAC0011,094066,1965,02,09,6.1,1,Y
IDCJAC0011,094066,1965,02,10,3.6,1,Y
IDCJAC0011,094066,1965,02,11,1.2,1,Y
IDCJAC0011,094066,1965,02,12,3.6,1,Y
IDCJAC0011,094066,1965,02,13,6.6,1,Y
IDCJAC0011,094066,1965,02,14,6.7,1,Y
IDCJAC0011,094066,1965,02,15,11.1,1,Y
IDCJAC0011,094066,1965,02,16,10.8,1,Y
IDCJAC0011,094066,1965,02,17,3.9,1,Y
IDCJAC0011,094066,1965,02,18,6.1,1,Y
IDCJAC0011,094066,1965,02,19,7.9,1,Y
IDCJAC0011,094066,1965,02,20,9.6,1,Y
IDCJAC0011,094066,1965,02,21,7.9,1,Y
IDCJAC0011,094066,1965,02,22,5.1,1,Y
IDCJAC0011,094066,1965,02,23,6.1,1,Y
IDCJAC0011,094066,1965,02,24,7.5,1,Y
IDCJAC0011,094066,1965,02,25,4.4,1,Y
IDCJAC0011,094066,1965,02,26,5.9,1,Y
IDCJAC0011,094066,1965,02,27,6.1,1,Y
IDCJAC0011,094066,1965,02,28,6.4,1,Y
IDCJAC0011,094066,1965,03,01,6.6,1,Y
IDCJAC0011,094066,1965,03,02,9.2,1,Y
IDCJAC0011,094066,1965,03,03,11.9,1,Y
IDCJAC0011,094066,1965,03,04,2.8,1,Y
IDCJAC0011,094066,1965,03,05,4.4,1,Y
IDCJAC0011,094066,1965,03,06,12.5,1,Y
IDCJAC0011,094066,1965,03,07,4.4,1,Y
IDCJAC0011,094066,1965,03,08,5.0,1,Y
IDCJAC0011,094066,1965,03,09,2.2,1,Y
IDCJAC0011,094066,1965,03,10,3.3,1,Y
IDCJAC0011,094066,1965,03,11,0.0,1,Y
IDCJAC0011,094066,1965,03,12,7.8,1,Y
IDCJAC0011,094066,1965,03,13,2.8,1,Y
IDCJAC0011,094066,1965,03,14,1.9,1,Y
IDCJAC0011,094066,1965,03,15,5.6,1,Y
IDCJAC0011,094066,1965,03,16,3.3,1,Y
IDCJAC0011,094066,1965,03,17,8.6,1,Y
IDCJAC0011,094066,1965,03,18,9.2,1,Y
IDCJAC0011,094066,1965,03,19,4.4,1,Y
IDCJAC0011,094066,1965,03,20,4.4,1,Y
IDCJAC0011,094066,1965,03,21,1.1,1,Y
IDCJAC0011,094066,1965,03,22,2.2,1,Y
IDCJAC0011,094066,1965,03,23,5.0,1,Y
IDCJAC0011,094066,1965,03,24,1.1,1,Y
IDCJAC0011,094066,1965,03,25,2.8,1,Y
IDCJAC0011,094066,1965,03,26,6.1,1,Y
IDCJAC0011,094066,1965,03,27,6.1,1,Y
IDCJAC0011,094066,1965,03,28,5.6,1,Y
IDCJAC0011,094066,1965,03,29,1.7,1,Y
IDCJAC0011,094066,1965,03,30,3.6,1,Y
IDCJAC0011,094066,1965,03,31,3.9,1,Y
IDCJAC0011,094066,1965,04,01,6.1,1,Y
IDCJAC0011,094066,1965,04,02,1.7,1,Y
IDCJAC0011,094066,1965,04,03,1.7,1,Y
IDCJAC0011,094066,1965,04,04,1.7,1,Y
IDCJAC0011,094066,1965,04,05,0.6,1,Y
IDCJAC0011,094066,1965,04,06,4.4,1,Y
IDCJAC0011,094066,1965,04,07,0.6,1,Y
IDCJAC0011,094066,1965,04,08,2.8,1,Y
IDCJAC0011,094066,1965,04,09,6.1,1,Y
IDCJAC0011,094066,1965,04,10,1.7,1,Y
IDCJAC0011,094066,1965,04,11,2.2,1,Y
IDCJAC0011,094066,1965,04,12,2.2,1,Y
IDCJAC0011,094066,1965,04,13,1.7,1,Y
IDCJAC0011,094066,1965,04,14,2.8,1,Y
IDCJAC0011,094066,1965,04,15,3.3,1,Y
IDCJAC0011,094066,1965,04,16,3.3,1,Y
IDCJAC0011,094066,1965,04,17,0.6,1,Y
IDCJAC0011,094066,1965,04,18,0.6,1,Y
IDCJAC0011,094066,1965,04,19,2.2,1,Y
IDCJAC0011,094066,1965,04,20,5.0,1,Y
IDCJAC0011,094066,1965,04,21,5.0,1,Y
IDCJAC0011,094066,1965,04,22,5.0,1,Y
IDCJAC0011,094066,1965,04,23,1.7,1,Y
IDCJAC0011,094066,1965,04,24,1.7,1,Y
IDCJAC0011,094066,1965,04,25,3.3,1,Y
IDCJAC0011,094066,1965,04,26,1.7,1,Y
IDCJAC0011,094066,1965,04,27,2.8,1,Y
IDCJAC0011,094066,1965,04,28,5.6,1,Y
IDCJAC0011,094066,1965,04,29,5.0,1,Y
IDCJAC0011,094066,1965,04,30,7.2,1,Y
IDCJAC0011,094066,1965,05,01,4.4,1,Y
IDCJAC0011,094066,1965,05,02,4.4,1,Y
IDCJAC0011,094066,1965,05,03,6.7,1,Y
IDCJAC0011,094066,1965,05,04,10.0,1,Y
IDCJAC0011,094066,1965,05,05,3.3,1,Y
IDCJAC0011,094066,1965,05,06,1.7,1,Y
IDCJAC0011,094066,1965,05,07,1.1,1,Y
IDCJAC0011,094066,1965,05,08,4.4,1,Y
IDCJAC0011,094066,1965,05,09,7.2,1,Y
IDCJAC0011,094066,1965,05,10,6.1,1,Y
IDCJAC0011,094066,1965,05,11,7.8,1,Y
IDCJAC0011,094066,1965,05,12,5.6,1,Y
IDCJAC0011,094066,1965,05,13,4.4,1,Y
IDCJAC0011,094066,1965,05,14,3.9,1,Y
IDCJAC0011,094066,1965,05,15,3.9,1,Y
IDCJAC0011,094066,1965,05,16,2.2,1,Y
IDCJAC0011,094066,1965,05,17,1.1,1,Y
IDCJAC0011,094066,1965,05,18,3.3,1,Y
IDCJAC0011,094066,1965,05,19,-0.6,1,Y
IDCJAC0011,094066,1965,05,20,0.0,1,Y
IDCJAC0011,094066,1965,05,21,2.2,1,Y
IDCJAC0011,094066,1965,05,22,3.3,1,Y
IDCJAC0011,094066,1965,05,23,-2.2,1,Y
IDCJAC0011,094066,1965,05,24,-1.7,1,Y
IDCJAC0011,094066,1965,05,25,-1.1,1,Y
IDCJAC0011,094066,1965,05,26,3.9,1,Y
IDCJAC0011,094066,1965,05,27,0.6,1,Y
IDCJAC0011,094066,1965,05,28,2.8,1,Y
IDCJAC0011,094066,1965,05,29,2.8,1,Y
IDCJAC0011,094066,1965,05,30,1.7,1,Y
IDCJAC0011,094066,1965,05,31,-0.6,1,Y
IDCJAC0011,094066,1965,06,01,3.3,1,Y
IDCJAC0011,094066,1965,06,02,4.4,1,Y
IDCJAC0011,094066,1965,06,03,-1.7,1,Y
IDCJAC0011,094066,1965,06,04,5.0,1,Y
IDCJAC0011,094066,1965,06,05,6.7,1,Y
IDCJAC0011,094066,1965,06,06,2.8,1,Y
IDCJAC0011,094066,1965,06,07,7.8,1,Y
IDCJAC0011,094066,1965,06,08,1.7,1,Y
IDCJAC0011,094066,1965,06,09,1.7,1,Y
IDCJAC0011,094066,1965,06,10,-1.7,1,Y
IDCJAC0011,094066,1965,06,11,-0.6,1,Y
IDCJAC0011,094066,1965,06,12,-1.1,1,Y
IDCJAC0011,094066,1965,06,13,-1.7,1,Y
IDCJAC0011,094066,1965,06,14,2.2,1,Y
IDCJAC0011,094066,1965,06,15,5.0,1,Y
IDCJAC0011,094066,1965,06,16,6.1,1,Y
IDCJAC0011,094066,1965,06,17,7.2,1,Y
IDCJAC0011,094066,1965,06,18,0.6,1,Y
IDCJAC0011,094066,1965,06,19,0.6,1,Y
IDCJAC0011,094066,1965,06,20,1.7,1,Y
IDCJAC0011,094066,1965,06,21,3.9,1,Y
IDCJAC0011,094066,1965,06,22,-2.2,1,Y
IDCJAC0011,094066,1965,06,23,-2.2,1,Y
IDCJAC0011,094066,1965,06,24,-1.1,1,Y
IDCJAC0011,094066,1965,06,25,2.2,1,Y
IDCJAC0011,094066,1965,06,26,0.6,1,Y
IDCJAC0011,094066,1965,06,27,-1.1,1,Y
IDCJAC0011,094066,1965,06,28,-1.1,1,Y
IDCJAC0011,094066,1965,06,29,0.6,1,Y
IDCJAC0011,094066,1965,06,30,3.3,1,Y
IDCJAC0011,094066,1965,07,01,3.3,1,Y
IDCJAC0011,094066,1965,07,02,1.7,1,Y
IDCJAC0011,094066,1965,07,03,3.3,1,Y
IDCJAC0011,094066,1965,07,04,2.2,1,Y
IDCJAC0011,094066,1965,07,05,1.7,1,Y
IDCJAC0011,094066,1965,07,06,3.3,1,Y
IDCJAC0011,094066,1965,07,07,0.0,1,Y
IDCJAC0011,094066,1965,07,08,-1.1,1,Y
IDCJAC0011,094066,1965,07,09,0.6,1,Y
IDCJAC0011,094066,1965,07,10,-1.7,1,Y
IDCJAC0011,094066,1965,07,11,0.6,1,Y
IDCJAC0011,094066,1965,07,12,0.6,1,Y
IDCJAC0011,094066,1965,07,13,-0.6,1,Y
IDCJAC0011,094066,1965,07,14,0.6,1,Y
IDCJAC0011,094066,1965,07,15,1.1,1,Y
IDCJAC0011,094066,1965,07,16,1.1,1,Y
IDCJAC0011,094066,1965,07,17,-2.2,1,Y
