station_number,metric_code,alias_source,alias_value
014004,uv,folder_name,Darwin Berrimah Radar
014004,uv,note_name,BERRIMAH RADAR
014009,rainfall,folder_name,Darwin Channel Island
014009,rainfall,note_name,CHANNEL ISLAND
014009,uv,folder_name,Darwin Channel Island
014009,uv,note_name,CHANNEL ISLAND
014015,rainfall,folder_name,Darwin Airport
014015,rainfall,note_name,DARWIN AIRPORT
014015,max_temp,folder_name,Darwin Airport
014015,max_temp,note_name,DARWIN AIRPORT
014015,min_temp,folder_name,Darwin Airport
014015,min_temp,note_name,DARWIN AIRPORT
014015,uv,folder_name,Darwin Airport
014015,uv,note_name,DARWIN AIRPORT
014021,uv,folder_name,Darwin Buley Rockhole
014021,uv,note_name,BULEY ROCKHOLE
014022,rainfall,folder_name,Darwin River Ridge
014022,rainfall,note_name,DARWIN RIVER RIDGE
014022,uv,folder_name,Darwin River Ridge
014022,uv,note_name,DARWIN RIVER RIDGE
014031,max_temp,folder_name,Darwin Charles Point
014031,max_temp,note_name,CHARLES POINT
014031,min_temp,folder_name,Darwin Charles Point
014031,min_temp,note_name,CHARLES POINT
014041,max_temp,folder_name,Darwin Middle Point
014041,max_temp,note_name,MIDDLE POINT
014041,min_temp,folder_name,Darwin Middle Point
014041,min_temp,note_name,MIDDLE POINT
014042,max_temp,folder_name,Darwin Oenpelli
014042,max_temp,note_name,OENPELLI
014042,min_temp,folder_name,Darwin Oenpelli
014042,min_temp,note_name,OENPELLI
014049,rainfall,folder_name,Darwin Bowls Club
014049,rainfall,note_name,DARWIN BOWLS CLUB
014049,uv,folder_name,Darwin Bowls Club
014049,uv,note_name,DARWIN BOWLS CLUB
014050,rainfall,folder_name,Darwin Fort Hill Wharf
014050,rainfall,note_name,FORT HILL WHARF
014050,uv,folder_name,Darwin Fort Hill Wharf
014050,uv,note_name,FORT HILL WHARF
014090,max_temp,folder_name,Darwin Middle Point Rangers
014090,max_temp,note_name,MIDDLE POINT RANGERS
014090,min_temp,folder_name,Darwin Middle Point Rangers
014090,min_temp,note_name,MIDDLE POINT RANGERS
014112,rainfall,folder_name,Darwin Nightcliff Pool
014112,rainfall,note_name,NIGHTCLIFF POOL
014112,uv,folder_name,Darwin Nightcliff Pool
014112,uv,note_name,NIGHTCLIFF POOL
014116,rainfall,folder_name,Darwin Berrimah Research Farm
014116,rainfall,note_name,BERRIMAH RESEARCH FARM
014116,max_temp,folder_name,Darwin Berrimah Research Farm
014116,max_temp,note_name,BERRIMAH RESEARCH FARM
014116,min_temp,folder_name,Darwin Berrimah Research
014116,min_temp,note_name,BERRIMAH RESEARCH FARM
014142,max_temp,folder_name,Darwin Pirlangimpi Airport
014142,max_temp,note_name,PIRLANGIMPI AIRPORT
014142,min_temp,folder_name,Darwin Pirlangimpi Airport
014142,min_temp,note_name,PIRLANGIMPI AIRPORT
014143,rainfall,folder_name,Darwin Awillaway Fly Creek
014143,rainfall,note_name,AWILLAWAY FLY CREEK
014143,uv,folder_name,Darwin Awillaway Fly Creek
014143,uv,note_name,AWILLAWAY FLY CREEK
014144,rainfall,folder_name,Darwin Marrara
014144,rainfall,note_name,MARRARA
014144,uv,folder_name,Darwin Marrara
014144,uv,note_name,MARRARA
014147,uv,folder_name,Darwin Pioneer Creek
014147,uv,note_name,PIONEER CREEK
014148,uv,folder_name,Darwin Camp Creek
014148,uv,note_name,CAMP CREEK
014153,max_temp,folder_name,Darwin Black Point
014153,max_temp,note_name,BLACK POINT
014153,min_temp,folder_name,Darwin Black Point
014153,min_temp,note_name,BLACK POINT
014163,rainfall,folder_name,Darwin Botanic Garden
014163,rainfall,note_name,DARWIN BOTANIC GARDENS
014163,uv,folder_name,Darwin Botanic Garden
014163,uv,note_name,DARWIN BOTANIC GARDENS
014183,rainfall,folder_name,Darwin River Dam
014183,rainfall,note_name,DARWIN RIVER DAM
014183,uv,folder_name,Darwin River Dam
014183,uv,note_name,DARWIN RIVER DAM
014192,rainfall,folder_name,Darwin Girraween
014192,rainfall,note_name,GIRRAWEEN
014192,uv,folder_name,Darwin Girraween
014192,uv,note_name,GIRRAWEEN
014198,max_temp,folder_name,Darwin Jabiru Airport
014198,max_temp,note_name,JABIRU AIRPORT
014198,min_temp,folder_name,Darwin Jabiru Airport
014198,min_temp,note_name,JABIRU AIRPORT
014206,rainfall,folder_name,Darwin Southport
014206,rainfall,note_name,SOUTHPORT
014206,uv,folder_name,Darwin Southport
014206,uv,note_name,SOUTHPORT
014215,rainfall,folder_name,Darwin Berry Springs Rangers
014215,rainfall,note_name,BERRY SPRINGS RANGERS
014215,uv,folder_name,Darwin Berry Springs Ranger
014215,uv,note_name,BERRY SPRINGS RANGERS
014219,rainfall,folder_name,Darwin McMinns Lagoon
014219,rainfall,note_name,MCMINNS LAGOON
014219,uv,folder_name,Darwin McMinns Lagoon
014219,uv,note_name,MCMINNS LAGOON
014222,rainfall,folder_name,Darwin Elizabeth Valley
014222,rainfall,note_name,ELIZABETH VALLEY
014222,uv,folder_name,Darwin Elizabeth Valley
014222,uv,note_name,ELIZABETH VALLEY
014226,rainfall,folder_name,Darwin Humpty Doo Collard Road
014226,rainfall,note_name,HUMPTY DOO COLLARD ROAD
014226,uv,folder_name,Darwin Humpty Doo Collard Road
014226,uv,note_name,HUMPTY DOO COLLARD ROAD
014227,rainfall,folder_name,Darwin Karama
014227,rainfall,note_name,KARAMA
014235,rainfall,folder_name,Darwin Northlakes
014235,rainfall,note_name,NORTHLAKES
014235,uv,folder_name,Darwin Northlakes
014235,uv,note_name,NORTHLAKES
014238,rainfall,folder_name,Darwin Wagait Beach
014238,rainfall,note_name,WAGAIT BEACH
014238,uv,folder_name,Darwin Wagait Beach
014238,uv,note_name,WAGAIT BEACH
014244,rainfall,folder_name,Darwin Acacia Hills
014244,rainfall,note_name,ACACIA HILLS
014244,uv,folder_name,Darwin Acacia Hills
014244,uv,note_name,ACACIA HILLS
014246,rainfall,folder_name,Darwin Leanyer
014246,rainfall,note_name,LEANYER
014253,max_temp,folder_name,Darwin Channel Point
014253,max_temp,note_name,CHANNEL POINT
014253,min_temp,folder_name,Darwin Channel Point
014253,min_temp,note_name,CHANNEL POINT
014254,max_temp,folder_name,Darwin Point Stuart
014254,max_temp,note_name,POINT STUART
014254,min_temp,folder_name,Darwin Point Stuart
014254,min_temp,note_name,POINT STUART
014260,rainfall,folder_name,Darwin East Arm
014260,rainfall,note_name,EAST ARM
014260,uv,folder_name,Darwin East Arm
014260,uv,note_name,EAST ARM
014264,rainfall,folder_name,Darwin Territory Wildlife Park
014264,rainfall,note_name,TERRITORY WILDLIFE PARK
014264,uv,folder_name,Darwin Territory Wildlife Park
014264,uv,note_name,TERRITORY WILDLIFE PARK
014265,rainfall,folder_name,Darwin CSIRO
014265,rainfall,note_name,CSIRO BERRIMAH
014265,uv,folder_name,Darwin CSIRO Berrimah
014265,uv,note_name,CSIRO BERRIMAH
014266,rainfall,folder_name,Darwin Thorak Cemetery
014266,rainfall,note_name,THORAK CEMETERY
014270,rainfall,folder_name,Darwin Nightcliff Sports Club
014270,rainfall,note_name,NIGHTCLIFF SPORTS CLUB
014270,uv,folder_name,Darwin Nightcliff Sports Club
014270,uv,note_name,NIGHTCLIFF SPORTS CLUB
014272,rainfall,folder_name,Darwin Batchelor Airport
014272,rainfall,note_name,BATCHELOR AIRPORT
014272,max_temp,folder_name,Darwin Batchelor Airport
014272,max_temp,note_name,BATCHELOR AIRPORT
014272,min_temp,folder_name,Darwin Batchelor Airport
014272,min_temp,note_name,BATCHELOR AIRPORT
014272,uv,folder_name,Darwin Batchelor Airport
014272,uv,note_name,BATCHELOR AIRPORT
014277,max_temp,folder_name,Darwin Dum In Mirrie Airstrip
014277,max_temp,note_name,DUM IN MIRRIE AIRSTRIP
014277,min_temp,folder_name,Darwin Dum In Mirrie Airstrip
014277,min_temp,note_name,DUM IN MIRRIE AIRSTRIP
014285,rainfall,folder_name,Darwin Hospital
014285,rainfall,note_name,DARWIN HOSPITAL
014289,rainfall,folder_name,Darwin Charles Darwin University
014289,rainfall,note_name,CHARLES DARWIN UNIVERSITY
014289,uv,folder_name,Darwin Charles Darwin University
014289,uv,note_name,CHARLES DARWIN UNIVERSITY
014308,max_temp,folder_name,Darwin Croker Island Airport
014308,max_temp,note_name,CROKER ISLAND AIRPORT
014308,min_temp,folder_name,Darwin Croket Island Airport
014308,min_temp,note_name,CROKER ISLAND AIRPORT
014309,max_temp,folder_name,Darwin Murganella Airstrip
014309,max_temp,note_name,MURGANELLA AIRSTRIP
014309,min_temp,folder_name,Darwin Murganella Airstrip
014309,min_temp,note_name,MURGANELLA AIRSTRIP
014310,max_temp,folder_name,Darwin Oenpelli Airport
014310,max_temp,note_name,OENPELLI AIRPORT
014310,min_temp,folder_name,Darwin Oenpelli Airport
014310,min_temp,note_name,OENPELLI AIRPORT
014313,rainfall,folder_name,Darwin Knuckey Lagoon
014313,rainfall,note_name,KNUCKEY LAGOON (PARADISE NURSERY)
014314,rainfall,folder_name,Darwin Noonamah Airstrip
014314,rainfall,note_name,NOONAMAH AIRSTRIP
014314,max_temp,folder_name,Darwin Noonamah Airstrip
014314,max_temp,note_name,NOONAMAH AIRSTRIP
014314,min_temp,folder_name,Darwin Noonamah Airstrip
014314,min_temp,note_name,NOONAMAH AIRSTRIP
014314,uv,folder_name,Darwin Noonamah Airstrip
014314,uv,note_name,NOONAMAH AIRSTRIP
014316,rainfall,folder_name,Darwin Turf Club
014316,rainfall,note_name,DARWIN TURF CLUB
014316,uv,folder_name,Darwin Turf Club
014316,uv,note_name,DARWIN TURF CLUB
014318,rainfall,folder_name,Darwin East Point
014318,rainfall,note_name,EAST POINT
014318,max_temp,folder_name,Darwin East Point
014318,max_temp,note_name,EAST POINT
014318,min_temp,folder_name,Darwin East Point
014318,min_temp,note_name,EAST POINT
014318,uv,folder_name,Darwin East Point
014318,uv,note_name,EAST POINT
014901,max_temp,folder_name,Darwin Douglas River Research Farm
014901,max_temp,note_name,DOUGLAS RIVER RESEARCH FARM
014901,min_temp,folder_name,Darwin Douglas River Research Farm
014901,min_temp,note_name,DOUGLAS RIVER RESEARCH FARM
014903,max_temp,folder_name,Darwin Katherine Aviation Museum
014903,max_temp,note_name,KATHERINE AVIATION MUSEUM
014925,max_temp,folder_name,Darwin Tipperary
014925,max_temp,note_name,TIPPERARY
014925,min_temp,folder_name,Darwin Tipperary
014925,min_temp,note_name,TIPPERARY
014933,max_temp,folder_name,Darwin Pine Creek
014933,max_temp,note_name,PINE CREEK
014933,min_temp,folder_name,Darwin Pine Creek
014933,min_temp,note_name,PINE CREEK
014938,max_temp,folder_name,Darwin Mango Farm
014938,max_temp,note_name,MANGO FARM
014938,min_temp,folder_name,Darwin Mango Farm
014938,min_temp,note_name,MANGO FARM
014948,max_temp,folder_name,Darwin Port Keats Airport
014948,max_temp,note_name,PORT KEATS AIRPORT
014948,min_temp,folder_name,Darwin Port Keats Airport
014948,min_temp,note_name,PORT KEATS AIRPORT
014960,max_temp,folder_name,Darwin Pine Creek Council
014960,max_temp,note_name,PINE CREEK COUNCIL
014960,min_temp,folder_name,Darwin Pine Creek Council
014960,min_temp,note_name,PINE CREEK COUNCIL
014982,rainfall,folder_name,Darwin Kangaroo Flats
014982,rainfall,note_name,KANGAROO FLATS (DEFENCE)
014982,max_temp,folder_name,Darwin Kangaroo Flats
